<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.03.12	620.810	637.000	620.800	627.600	6177	0	0
2014.03.13	627.600	635.000	622.100	629.990	6718	0	0
2014.03.14	629.990	630.000	620.460	625.000	4961	0	0
2014.03.15	625.800	633.670	620.010	629.010	3673	0	0
2014.03.16	629.000	630.000	618.810	622.000	6164	0	0
2014.03.17	622.000	627.710	608.000	615.210	10479	0	0
2014.03.18	615.220	619.000	598.000	616.100	13759	0	0
2014.03.19	616.100	624.840	607.000	608.270	15539	0	0
2014.03.20	607.620	612.380	582.080	590.430	15456	0	0
2014.03.21	590.500	605.840	561.090	580.000	12975	0	0
2014.03.22	580.000	583.570	555.730	565.870	12538	0	0
2014.03.23	565.710	576.050	562.450	567.460	7004	0	0
2014.03.24	566.600	581.300	555.230	581.300	13109	0	0
2014.03.25	581.300	590.130	569.110	580.120	11033	0	0
2014.03.26	580.120	588.900	571.110	583.760	6156	0	0
2014.03.27	582.770	584.020	509.900	516.000	17168	0	0
2014.03.28	516.980	529.370	472.000	492.520	15869	0	0
2014.03.29	492.800	506.920	492.520	500.000	4759	0	0
2014.03.30	498.100	500.340	450.010	456.300	22562	0	0
2014.03.31	456.310	487.500	446.200	455.260	14592	0	0
2014.04.01	455.260	500.000	454.500	482.070	15865	0	0
2014.04.02	481.930	498.500	422.370	432.060	21048	0	0
2014.04.03	432.070	453.000	410.000	445.100	21399	0	0
2014.04.04	445.100	456.810	423.190	445.530	13563	0	0
2014.04.05	445.520	458.000	441.980	453.600	14611	0	0
2014.04.06	453.600	471.230	449.080	458.970	12909	0	0
2014.04.07	458.970	464.000	438.130	442.030	13661	0	0
2014.04.08	442.030	454.700	441.250	443.190	10483	0	0
2014.04.09	443.040	451.000	435.500	437.930	9078	0	0
2014.04.10	437.980	439.700	375.000	377.990	18808	0	0
2014.04.11	377.500	435.000	342.800	417.550	25960	0	0
2014.04.12	417.240	439.990	408.660	419.010	17957	0	0
2014.04.13	419.010	425.520	382.420	400.860	13072	0	0
2014.04.14	400.830	468.000	396.570	455.000	15070	0	0
2014.04.15	455.000	540.810	447.000	500.600	17163	0	0
2014.04.16	500.600	544.990	485.320	508.300	16743	0	0
2014.04.17	508.000	535.000	466.560	486.000	14339	0	0
2014.04.18	486.000	496.630	456.800	471.000	9947	0	0
2014.04.19	470.930	497.000	453.000	485.300	10503	0	0
2014.04.20	486.000	505.000	476.000	485.310	8248	0	0
2014.04.21	485.310	503.990	478.000	482.500	7265	0	0
2014.04.22	482.400	490.000	469.510	480.650	6408	0	0
2014.04.23	481.000	482.090	471.860	480.000	6122	0	0
2014.04.24	480.000	485.680	470.540	483.330	6005	0	0
2014.04.25	483.340	495.770	432.200	452.290	14566	0	0
2014.04.26	452.290	455.990	434.480	450.570	9065	0	0
2014.04.27	450.100	452.100	427.000	431.960	7146	0	0
2014.04.28	432.120	437.490	412.940	432.010	10299	0	0
2014.04.29	432.860	442.690	424.440	433.120	10210	0	0
2014.04.30	433.120	443.000	427.960	439.920	11910	0	0
2014.05.01	438.310	453.560	436.450	444.750	11257	0	0
2014.05.02	444.750	449.250	429.280	435.320	9430	0	0
2014.05.03	435.000	437.430	421.000	430.040	7556	0	0
2014.05.04	430.040	434.990	424.540	426.390	6660	0	0
2014.05.05	426.280	431.460	421.770	424.300	7166	0	0
2014.05.06	424.310	428.000	411.400	419.830	9574	0	0
2014.05.07	419.830	437.000	416.500	432.230	7311	0	0
2014.05.08	432.220	436.000	426.890	428.000	6997	0	0
2014.05.09	428.000	444.000	426.610	438.110	5920	0	0
2014.05.10	438.110	445.900	438.000	439.900	6046	0	0
2014.05.11	439.870	445.960	426.760	430.000	6311	0	0
2014.05.12	430.000	437.030	428.010	432.700	5799	0	0
2014.05.13	432.700	438.000	430.800	432.830	5119	0	0
2014.05.14	432.830	439.100	432.400	438.000	3666	0	0
2014.05.15	438.000	441.900	433.600	438.210	4401	0	0
2014.05.16	438.210	441.000	435.490	440.850	5313	0	0
2014.05.17	440.750	440.990	437.940	440.830	3333	0	0
2014.05.18	440.830	441.000	438.720	439.800	4303	0	0
2014.05.19	439.800	441.800	435.290	439.020	3921	0	0
2014.05.20	439.040	486.370	436.500	474.400	10188	0	0
2014.05.21	474.390	487.990	471.000	478.270	6412	0	0
2014.05.22	478.280	515.070	476.990	514.000	8370	0	0
2014.05.23	514.000	539.600	508.110	517.520	12116	0	0
2014.05.24	517.050	519.600	503.000	517.500	8022	0	0
2014.05.25	519.000	569.990	512.810	565.400	12489	0	0
2014.05.26	565.230	591.000	558.000	574.900	9388	0	0
2014.05.27	573.500	586.000	541.100	563.160	11743	0	0
2014.05.28	563.150	569.210	549.000	554.500	7614	0	0
2014.05.29	554.500	564.880	543.100	555.000	6182	0	0
2014.05.30	555.000	607.030	552.870	602.000	10018	0	0
2014.05.31	602.000	614.000	583.600	608.000	9259	0	0
2014.06.01	608.000	667.530	607.920	640.980	13615	0	0
2014.06.02	640.980	651.500	602.000	638.110	13221	0	0
2014.06.03	638.110	667.000	635.380	657.360	12525	0	0
2014.06.04	657.360	659.690	605.000	636.800	11269	0	0
2014.06.05	636.800	656.270	625.100	645.570	8200	0	0
2014.06.06	647.180	650.000	635.330	637.010	6130	0	0
2014.06.07	638.000	646.000	627.590	641.000	5240	0	0
2014.06.08	641.100	649.990	640.500	643.000	4216	0	0
2014.06.09	643.000	648.100	631.600	635.620	6063	0	0
2014.06.10	635.620	648.000	633.000	642.300	4653	0	0
2014.06.11	642.300	648.890	627.990	632.400	6270	0	0
2014.06.12	633.000	633.000	586.680	591.000	8456	0	0
2014.06.13	588.980	611.500	560.000	588.880	13863	0	0
2014.06.14	588.880	598.490	546.330	562.000	9016	0	0
2014.06.15	562.000	577.950	552.780	572.000	7798	0	0
2014.06.16	572.000	603.000	568.930	587.000	10180	0	0
2014.06.17	587.150	604.100	583.420	603.800	6880	0	0
2014.06.18	603.990	609.990	594.990	596.600	6552	0	0
2014.06.19	596.120	604.490	589.910	595.000	5526	0	0
2014.06.20	593.700	596.000	578.970	584.040	6395	0	0
2014.06.21	583.540	590.590	575.470	586.780	5448	0	0
2014.06.22	586.780	597.790	585.300	591.330	3925	0	0
2014.06.23	591.330	596.000	578.000	582.600	5387	0	0
2014.06.24	582.600	585.840	576.350	582.100	3858	0	0
2014.06.25	581.810	582.590	556.000	564.000	8387	0	0
2014.06.26	564.000	569.400	555.990	566.970	5310	0	0
2014.06.27	566.970	588.990	566.000	581.420	6466	0	0
2014.06.28	581.420	604.800	579.100	591.460	5272	0	0
2014.06.29	591.460	595.480	585.000	590.280	3382	0	0
2014.06.30	590.040	646.890	588.180	642.000	10537	0	0
2014.07.01	640.710	654.100	629.320	635.700	9443	0	0
2014.07.02	635.700	647.800	625.000	638.570	11006	0	0
2014.07.03	638.570	643.710	629.000	632.990	7011	0	0
2014.07.04	632.990	639.600	622.460	626.500	6380	0	0
2014.07.05	626.500	629.000	621.110	625.500	7653	0	0
2014.07.06	625.500	636.000	623.500	630.330	4668	0	0
2014.07.07	631.160	633.000	610.010	617.710	8423	0	0
2014.07.08	617.740	621.000	611.620	618.500	5976	0	0
2014.07.09	618.510	619.700	611.790	616.320	5098	0	0
2014.07.10	616.370	618.900	603.700	610.620	6213	0	0
2014.07.11	610.630	625.000	606.690	623.000	4230	0	0
2014.07.12	623.000	629.000	618.600	624.000	5140	0	0
2014.07.13	622.650	627.910	619.000	621.080	4509	0	0
2014.07.14	621.080	623.470	611.000	617.900	4592	0	0
2014.07.15	617.900	619.130	614.930	615.600	3778	0	0
2014.07.16	616.500	618.080	609.790	613.000	3911	0	0
2014.07.17	614.300	623.000	606.100	615.010	5020	0	0
2014.07.18	615.000	620.500	611.190	618.230	3094	0	0
2014.07.19	618.230	621.990	616.470	617.660	2416	0	0
2014.07.20	618.270	619.790	612.100	612.520	3058	0	0
2014.07.21	612.520	616.150	611.450	614.610	3681	0	0
2014.07.22	614.620	616.390	611.500	613.160	3829	0	0
2014.07.23	613.110	615.850	609.020	611.000	2727	0	0
2014.07.24	611.040	613.330	578.590	586.100	6163	0	0
2014.07.25	591.450	602.220	585.000	594.890	6796	0	0
2014.07.26	594.890	596.680	584.590	587.530	6221	0	0
2014.07.27	588.000	594.500	582.380	585.760	3719	0	0
2014.07.28	585.760	586.500	562.990	581.970	7782	0	0
2014.07.29	581.660	583.000	572.500	577.700	5869	0	0
2014.07.30	577.700	579.880	555.160	558.990	6419	0	0
2014.07.31	559.170	584.790	555.000	577.580	8872	0	0
